captured_utc,captured_lima,fecha_visita,inicio_venta,turnos_disponibles,turnos_entregados,ruta,aforo,vendidos,disponibles
2026-09-24T22:17:16+00:00,2026-09-24T17:17:16-05:00,2026-09-25,06:00 AM,0,1000,Ruta 3-B: Realeza diseñada,100,100,0
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 2-A: Clásico Diseñada,600,353,247
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 2-B: Terraza Inferior,100,50,50
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 3-A: Montaña Waynapicchu,50,31,19
2026-09-25T02:05:29+00:00,2026-09-24T21:05:29-05:00,2026-09-26,06:00 AM,553,447,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T06:59:32+00:00,2026-09-25T01:59:32-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T07:01:16+00:00,2026-09-25T02:01:16-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T07:16:08+00:00,2026-09-25T02:16:08-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
